   1123 の	助詞,接続助詞,*,*,の,の,*
     66 最強	形容詞,*,ナノ形容詞,語幹,最強だ,さいきょう,代表表記:最強だ/さいきょうだ
     66 たい	接尾辞,形容詞性述語接尾辞,イ形容詞アウオ段,基本形,たい,たい,代表表記:たい/たい
     64 し	動詞,*,サ変動詞,基本連用形,する,し,代表表記:する/する 付属動詞候補（基本） 自他動詞:自:成る/なる
     62 物語	名詞,サ変名詞,*,*,物語,ものがたり,代表表記:物語/ものがたり カテゴリ:抽象物 ドメイン:文化・芸術
     60 私	名詞,普通名詞,*,*,私,わたし,代表表記:私/わたし 漢字読み:訓 カテゴリ:人
     58 が	助詞,接続助詞,*,*,が,が,*
     56 神	名詞,普通名詞,*,*,神,かみ,代表表記:神/かみ 漢字読み:訓 カテゴリ:人 ドメイン:文化・芸術
     56 の	助詞,格助詞,*,*,の,の,*
     55 【	特殊,括弧始,*,*,【,【,*
     53 人	名詞,普通名詞,*,*,人,じん,代表表記:人/じん 漢字読み:音 カテゴリ:人
     52 ので	助動詞,*,ナ形容詞,ダ列タ系連用テ形,のだ,ので,*
     52 です	判定詞,*,判定詞,デス列基本形,だ,です,*
     52 】	特殊,括弧終,*,*,】,】,*
     51 から	助詞,格助詞,*,*,から,から,*
     50 魔	名詞,普通名詞,*,*,魔,ま,代表表記:魔/ま 漢字読み:音 カテゴリ:人
     49 冒険	名詞,サ変名詞,*,*,冒険,ぼうけん,代表表記:冒険/ぼうけん カテゴリ:抽象物
     48 悪役	名詞,普通名詞,*,*,悪役,あくやく,代表表記:悪役/あくやく カテゴリ:抽象物 ドメイン:文化・芸術
     48 お	接頭辞,名詞接頭辞,*,*,お,お,代表表記:御/お
     46 召喚	名詞,サ変名詞,*,*,召喚,しょうかん,代表表記:召喚/しょうかん カテゴリ:抽象物
     46 -	特殊,記号,*,*,*,*,*
     45 僕	名詞,普通名詞,*,*,僕,ぼく,代表表記:僕/ぼく 漢字読み:音 カテゴリ:人
     43 な	名詞,普通名詞,*,*,な,な,代表表記:名/な 漢字読み:訓 カテゴリ:抽象物
     43 けど	助詞,接続助詞,*,*,けど,けど,*
     42 無	接頭辞,ナ形容詞接頭辞,*,*,無,む,代表表記:無/む
     42 (	特殊,記号,*,*,*,*,*
     41 れて	接尾辞,動詞性接尾辞,母音動詞,タ系連用テ形,れる,れて,代表表記:れる/れる
     40 )	特殊,記号,*,*,*,*,*
     39 双	名詞,普通名詞,*,*,双,そう,代表表記:双/そう 漢字読み:音 カテゴリ:数量
     39 師	名詞,普通名詞,*,*,師,し,代表表記:師/し 漢字読み:音 カテゴリ:人
     39 なり	動詞,*,子音動詞ラ行,基本連用形,なる,なり,代表表記:成る/なる 自他動詞:他:成す/なす;他:する/する
     38 したら	動詞,*,サ変動詞,タ系条件形,する,したら,代表表記:する/する 付属動詞候補（基本） 自他動詞:自:成る/なる
     38 「	特殊,括弧始,*,*,「,「,*
     37 へ	助詞,格助詞,*,*,へ,へ,*
     37 なった	動詞,*,子音動詞ラ行,タ形,なる,なった,代表表記:成る/なる 自他動詞:他:成す/なす;他:する/する
     37 」	特殊,括弧終,*,*,」,」,*
     34 生活	名詞,サ変名詞,*,*,生活,せいかつ,代表表記:生活/せいかつ カテゴリ:抽象物 ドメイン:家庭・暮らし
     33 能力	名詞,普通名詞,*,*,能力,のうりょく,代表表記:能力/のうりょく カテゴリ:抽象物
     33 剣	名詞,普通名詞,*,*,剣,けん,代表表記:剣/けん 漢字読み:音 カテゴリ:人工物-その他
     33 』	特殊,括弧終,*,*,』,』,*
     33 〝	特殊,記号,*,*,*,*,*
     32 話	名詞,サ変名詞,*,*,話,はなし,代表表記:話/はなし 漢字読み:訓 カテゴリ:抽象物 動詞派生:話す/はなす
     32 様	接尾辞,名詞性名詞接尾辞,*,*,様,さま,代表表記:様/さま
     32 ゲーム	名詞,普通名詞,*,*,ゲーム,げーむ,代表表記:ゲーム/げーむ カテゴリ:抽象物 ドメイン:レクリエーション
     32 でも	助詞,副助詞,*,*,でも,でも,*
     32 だ	判定詞,*,判定詞,基本形,だ,だ,*
     32 この	指示詞,連体詞形態指示詞,*,*,この,この,*
     32 『	特殊,括弧始,*,*,『,『,*
     31 娘	名詞,普通名詞,*,*,娘,むすめ,代表表記:娘/むすめ 漢字読み:訓 カテゴリ:人 ドメイン:家庭・暮らし
     30 男	名詞,普通名詞,*,*,男,おとこ,代表表記:男/おとこ 漢字読み:訓 カテゴリ:人
     30 記	名詞,普通名詞,*,*,記,き,代表表記:記/き 漢字読み:音 カテゴリ:抽象物
     30 一	名詞,数詞,*,*,一,いち,カテゴリ:数量
     30 たち	接尾辞,名詞性名詞接尾辞,*,*,たち,たち,代表表記:達/たち
     30 こと	名詞,形式名詞,*,*,こと,こと,*
     29 最強の	形容詞,*,ナノ形容詞,ダ列特殊連体形,最強だ,さいきょうの,代表表記:最強だ/さいきょうだ
     29 だった	判定詞,*,判定詞,ダ列タ形,だ,だった,*
     29 ―	特殊,記号,*,*,―,―,*
     28 美	名詞,普通名詞,*,*,美,び,代表表記:美/び 漢字読み:音 カテゴリ:抽象物
     28 転移	名詞,サ変名詞,*,*,転移,てんい,代表表記:転移/てんい カテゴリ:抽象物 ドメイン:健康・医学
     28 少年	名詞,普通名詞,*,*,少年,しょうねん,代表表記:少年/しょうねん カテゴリ:人
     28 れ	接尾辞,動詞性接尾辞,母音動詞,基本連用形,れる,れ,代表表記:れる/れる
     28 の	名詞,形式名詞,*,*,の,の,*
     28 だけ	助詞,副助詞,*,*,だけ,だけ,*
     27 騎士	名詞,普通名詞,*,*,騎士,きし,代表表記:騎士/きし カテゴリ:人
     27 なって	動詞,*,子音動詞ラ行,タ系連用テ形,なる,なって,代表表記:成る/なる 自他動詞:他:成す/なす;他:する/する
     27 さん	接尾辞,名詞性名詞接尾辞,*,*,さん,さん,代表表記:さん/さん
     26 女神	名詞,普通名詞,*,*,女神,めがみ,代表表記:女神/めがみ カテゴリ:人
     26 使い	動詞,*,子音動詞ワ行,基本連用形,使う,つかい,代表表記:使う/つかう
     26 件	名詞,普通名詞,*,*,件,けん,代表表記:件/けん 漢字読み:音 カテゴリ:抽象物
     26 その	指示詞,連体詞形態指示詞,*,*,その,その,*
     25 達	接尾辞,名詞性名詞接尾辞,*,*,達,たち,代表表記:達/たち
     25 元	接頭辞,名詞接頭辞,*,*,元,もと,代表表記:元/もと 内容語
     25 英雄	名詞,普通名詞,*,*,英雄,えいゆう,代表表記:英雄/えいゆう カテゴリ:人
     25 れる	接尾辞,動詞性接尾辞,母音動詞,基本形,れる,れる,代表表記:れる/れる
     24 二	名詞,数詞,*,*,二,に,カテゴリ:数量
     24 生	名詞,普通名詞,*,*,生,せい,代表表記:生/せい 漢字読み:音 カテゴリ:抽象物
     24 最	接頭辞,名詞接頭辞,*,*,最,さい,代表表記:最/さい 内容語
     24 チート	名詞,人名,*,*,*,*,*
     24 って	助詞,副助詞,*,*,って,って,*
     23 チート	名詞,普通名詞,*,*,チート,チート,自動獲得:Wikipedia Wikipedia上位語:行為/こうい
     23 んだ	助動詞,*,ナ形容詞,基本形,んだ,んだ,*
     23 ん	助動詞,*,助動詞ぬ型,音便基本形,ぬ,ん,*
     23 よ	助詞,終助詞,*,*,よ,よ,*
     22 夢	名詞,普通名詞,*,*,夢,ゆめ,代表表記:夢/ゆめ 漢字読み:訓 カテゴリ:抽象物 ドメイン:家庭・暮らし
     22 人	接尾辞,名詞性名詞助数辞,*,*,人,にん,代表表記:人/にん 準内容語 カテゴリ:人
     22 》	特殊,括弧終,*,*,》,》,*
     22 《	特殊,括弧始,*,*,《,《,*
     21 姫	名詞,普通名詞,*,*,姫,ひめ,代表表記:姫/ひめ 漢字読み:訓 カテゴリ:人
     21 日本	名詞,地名,*,*,日本,にほん,代表表記:日本/にほん 地名:国
     21 な	判定詞,*,判定詞,ダ列基本連体形,だ,な,*
     21 .	特殊,記号,*,*,*,*,*
     20 恋	名詞,普通名詞,*,*,恋,こい,代表表記:恋/こい 漢字読み:訓 カテゴリ:抽象物 ドメイン:家庭・暮らし
     20 大	接頭辞,名詞接頭辞,*,*,大,だい,代表表記:大/だい 反義:接頭辞-名詞接頭辞:小/しょう 内容語 換言:+N:Nが大きい
     20 なる	動詞,*,子音動詞ラ行,基本形,なる,なる,代表表記:成る/なる 自他動詞:他:成す/なす;他:する/する
     20 でした	判定詞,*,判定詞,デス列タ形,だ,でした,*
     19 竜	名詞,普通名詞,*,*,竜,りゅう,代表表記:竜/りゅう 漢字読み:音 カテゴリ:動物
     19 人生	名詞,普通名詞,*,*,人生,じんせい,代表表記:人生/じんせい カテゴリ:抽象物
     19 学園	名詞,普通名詞,*,*,学園,がくえん,代表表記:学園/がくえん 組織名末尾 カテゴリ:組織・団体;場所-施設 ドメイン:教育・学習
     19 乙女	名詞,普通名詞,*,*,乙女,おとめ,代表表記:乙女/おとめ カテゴリ:人
     19 王	名詞,普通名詞,*,*,王,おう,代表表記:王/おう 漢字読み:音 人名末尾 カテゴリ:人 ドメイン:政治
     19 ら	接尾辞,名詞性名詞接尾辞,*,*,ら,ら,代表表記:ら/ら
     19 おっさん	名詞,普通名詞,*,*,おっさん,おっさん,自動獲得:テキスト 意味分類:人:0.995
     19 ！～	特殊,記号,*,*,*,*,*
     19 ~	特殊,記号,*,*,*,*,*
     18 目	接尾辞,名詞性名詞接尾辞,*,*,目,め,代表表記:目/め
     18 彼女	名詞,普通名詞,*,*,彼女,かのじょ,代表表記:彼女/かのじょ カテゴリ:人
     18 道	名詞,普通名詞,*,*,道,どう,代表表記:道/どう 漢字読み:音 カテゴリ:組織・団体;場所-施設;場所-その他 ドメイン:交通 多義
     18 女	名詞,普通名詞,*,*,女,おんな,代表表記:女/おんな 漢字読み:訓 カテゴリ:人
     18 国	名詞,普通名詞,*,*,国,くに,代表表記:国/くに 漢字読み:訓 地名末尾 カテゴリ:組織・団体;場所-その他 ドメイン:政治
     18 君	名詞,普通名詞,*,*,君,きみ,代表表記:君/きみ 漢字読み:訓 カテゴリ:人
     18 ませ	接尾辞,動詞性接尾辞,動詞性接尾辞ます型,未然形,ます,ませ,代表表記:ます/ます
     18 のに	助動詞,*,ナ形容詞,ダ列基本連用形,のだ,のに,*
     18 ない	形容詞,*,イ形容詞アウオ段,基本形,ない,ない,代表表記:無い/ない 反義:動詞:有る/ある
     18 ー	名詞,人名,*,*,*,*,*
     17 旅	名詞,サ変名詞,*,*,旅,たび,代表表記:旅/たび 漢字読み:訓 カテゴリ:抽象物 ドメイン:レクリエーション
     17 部	名詞,普通名詞,*,*,部,ぶ,代表表記:部/ぶ 漢字読み:音 カテゴリ:組織・団体;数量
     17 追放	名詞,サ変名詞,*,*,追放,ついほう,代表表記:追放/ついほう カテゴリ:抽象物 ドメイン:政治
     17 聖女	名詞,普通名詞,*,*,聖女,せいじょ,自動獲得:Wikipedia
     17 手	名詞,普通名詞,*,*,手,て,代表表記:手/て 漢字読み:訓 〜を〜に構成語 カテゴリ:動物-部位;抽象物
     17 子	名詞,普通名詞,*,*,子,こ,代表表記:子/こ 漢字読み:訓 カテゴリ:人 ドメイン:家庭・暮らし
     17 鬼	名詞,普通名詞,*,*,鬼,おに,代表表記:鬼/おに 漢字読み:訓 カテゴリ:人 ドメイン:文化・芸術
     17 ……	特殊,記号,*,*,……,……,*
     16 魔法使い	名詞,普通名詞,*,*,魔法使い,まほうつかい,代表表記:魔法使い/まほうつかい カテゴリ:人
     16 版	名詞,普通名詞,*,*,版,はん,代表表記:版/はん 漢字読み:音 カテゴリ:人工物-その他;数量 ドメイン:文化・芸術;メディア
     16 日記	名詞,普通名詞,*,*,日記,にっき,代表表記:日記/にっき カテゴリ:抽象物 ドメイン:文化・芸術;家庭・暮らし
     16 成り	動詞,*,子音動詞ラ行,基本連用形,成る,なり,代表表記:成る/なる 自他動詞:他:成す/なす;他:する/する
     16 婚約	名詞,サ変名詞,*,*,婚約,こんやく,代表表記:婚約/こんやく カテゴリ:抽象物 ドメイン:家庭・暮らし
     16 る	接尾辞,動詞性接尾辞,母音動詞,基本形,る,る,代表表記:る/る
     16 られた	接尾辞,動詞性接尾辞,母音動詞,タ形,られる,られた,代表表記:られる/られる
     16 ため	名詞,副詞的名詞,*,*,ため,ため,連語
     16 いた	接尾辞,動詞性接尾辞,母音動詞,タ形,いる,いた,代表表記:いる/いる
     15 魔術	名詞,普通名詞,*,*,魔術,まじゅつ,代表表記:魔術/まじゅつ カテゴリ:抽象物 ドメイン:文化・芸術
     15 弱	名詞,普通名詞,*,*,弱,じゃく,代表表記:弱/じゃく 漢字読み:音 カテゴリ:抽象物
     15 死	名詞,普通名詞,*,*,死,し,代表表記:死/し 漢字読み:音 カテゴリ:抽象物 ドメイン:家庭・暮らし
     15 士	名詞,普通名詞,*,*,士,し,代表表記:士/し 漢字読み:音 カテゴリ:人
     15 系	名詞,普通名詞,*,*,系,けい,代表表記:系/けい 漢字読み:音 カテゴリ:抽象物
     15 スキル	名詞,普通名詞,*,*,スキル,すきる,代表表記:スキル/すきる カテゴリ:抽象物 ドメイン:科学・技術;ビジネス
     15 つ	接尾辞,名詞性名詞助数辞,*,*,つ,つ,連語
     15 ず	助動詞,*,助動詞ぬ型,基本連用形,ぬ,ず,*
     15 から	助詞,接続助詞,*,*,から,から,*
     15 い	接尾辞,動詞性接尾辞,母音動詞,基本連用形,いる,い,代表表記:いる/いる
     14 魔女	名詞,普通名詞,*,*,魔女,まじょ,代表表記:魔女/まじょ カテゴリ:人
     14 猫	名詞,普通名詞,*,*,猫,ねこ,代表表記:猫/ねこ 漢字読み:訓 カテゴリ:動物
     14 日常	名詞,時相名詞,*,*,日常,にちじょう,代表表記:日常/にちじょう 弱時相名詞 カテゴリ:抽象物
     14 戦記	名詞,普通名詞,*,*,戦記,せんき,代表表記:戦記/せんき カテゴリ:抽象物 ドメイン:文化・芸術
     14 神様	名詞,普通名詞,*,*,神様,かみさま,代表表記:神様/かみさま カテゴリ:人 ドメイン:文化・芸術
     14 獣	名詞,普通名詞,*,*,獣,けだもの,代表表記:獣/けもの 漢字読み:訓 カテゴリ:動物
     14 主人公	名詞,普通名詞,*,*,主人公,しゅじんこう,代表表記:主人公/しゅじんこう 〜を〜に構成語 カテゴリ:人 ドメイン:文化・芸術
     14 賢者	名詞,普通名詞,*,*,賢者,けんじゃ,代表表記:賢者/けんじゃ カテゴリ:人
     14 王子	名詞,普通名詞,*,*,王子,おうじ,代表表記:王子/おうじ カテゴリ:人 ドメイン:政治
     14 レベル	名詞,普通名詞,*,*,レベル,れべる,代表表記:レベル/れべる カテゴリ:抽象物
     14 ようです	助動詞,*,ナ形容詞,デス列基本形,ようだ,ようです,*
     14 まで	助詞,接続助詞,*,*,まで,まで,*
     14 しまった	接尾辞,動詞性接尾辞,子音動詞ワ行,タ形,しまう,しまった,代表表記:しまう/しまう
     14 あなた	名詞,普通名詞,*,*,あなた,あなた,代表表記:あなた/あなた カテゴリ:人
     14 …	特殊,記号,*,*,…,…,*
     14 ー	名詞,組織名,*,*,*,*,*
     13 年	接尾辞,名詞性名詞助数辞,*,*,年,ねん,代表表記:年/ねん 準内容語 カテゴリ:時間
     13 精霊	名詞,普通名詞,*,*,精霊,せいれい,代表表記:精霊/せいれい カテゴリ:人
     13 人間	名詞,普通名詞,*,*,人間,にんげん,代表表記:人間/にんげん カテゴリ:人
     13 今日	名詞,時相名詞,*,*,今日,きょう,代表表記:今日/きょう カテゴリ:時間
     13 黒	名詞,普通名詞,*,*,黒,くろ,代表表記:黒/くろ 漢字読み:訓 カテゴリ:色
     13 呼ば	動詞,*,子音動詞バ行,未然形,呼ぶ,よば,代表表記:呼ぶ/よぶ
     13 救う	動詞,*,子音動詞ワ行,基本形,救う,すくう,代表表記:救う/すくう ドメイン:健康・医学
     13 何	名詞,数詞,*,*,何,なん,カテゴリ:数量
     13 悪	名詞,普通名詞,*,*,悪,あく,代表表記:悪/あく 漢字読み:音 カテゴリ:抽象物
     13 もう	副詞,*,*,*,もう,もう,代表表記:もう/もう 数量修飾
     13 ――	特殊,記号,*,*,――,――,*
     12 力	名詞,普通名詞,*,*,力,ちから,代表表記:力/ちから 漢字読み:訓 カテゴリ:抽象物
     12 幼馴染	名詞,普通名詞,*,*,幼馴染,おさななじみ,代表表記:幼馴染み/おさななじみ カテゴリ:人 ドメイン:家庭・暮らし
     12 幼女	名詞,普通名詞,*,*,幼女,ようじょ,代表表記:幼女/ようじょ カテゴリ:人 ドメイン:家庭・暮らし
     12 魔力	名詞,普通名詞,*,*,魔力,まりょく,代表表記:魔力/まりょく カテゴリ:抽象物
     12 方	接尾辞,名詞性述語接尾辞,*,*,方,かた,代表表記:方/かた 同義:名詞:方法/ほうほう 内容語 カテゴリ:抽象物
     12 彼	名詞,普通名詞,*,*,彼,かれ,代表表記:彼/かれ 漢字読み:訓 カテゴリ:人
     12 奴隷	名詞,普通名詞,*,*,奴隷,どれい,代表表記:奴隷/どれい カテゴリ:人
     12 中	接尾辞,名詞性名詞接尾辞,*,*,中,ちゅう,代表表記:中/ちゅう 内容語
     12 第	接頭辞,名詞接頭辞,*,*,第,だい,代表表記:第/だい
     12 聖	名詞,普通名詞,*,*,聖,ひじり,代表表記:聖/ひじり カテゴリ:人 ドメイン:文化・芸術
     12 星	名詞,普通名詞,*,*,星,ほし,代表表記:星/ほし 漢字読み:訓 カテゴリ:自然物
     12 剣士	名詞,普通名詞,*,*,剣士,けんし,代表表記:剣士/けんし カテゴリ:人 ドメイン:スポーツ
     12 空	名詞,普通名詞,*,*,空,から,代表表記:空/から 漢字読み:訓 カテゴリ:抽象物
     12 界	名詞,普通名詞,*,*,界,かい,代表表記:界/かい 漢字読み:音 カテゴリ:抽象物
     12 悪魔	名詞,普通名詞,*,*,悪魔,あくま,代表表記:悪魔/あくま カテゴリ:人
     12 パーティー	名詞,普通名詞,*,*,パーティー,ぱーてぃー,代表表記:パーティー/ぱーてぃー カテゴリ:抽象物 ドメイン:レクリエーション
     12 それ	指示詞,名詞形態指示詞,*,*,それ,それ,*
     12 しか	助詞,副助詞,*,*,しか,しか,*
     12 いる	接尾辞,動詞性接尾辞,母音動詞,基本形,いる,いる,代表表記:いる/いる
     11 譚	名詞,人名,*,*,*,*,*
     11 目指す	動詞,*,子音動詞サ行,基本形,目指す,めざす,代表表記:目指す/めざす
     11 未来	名詞,普通名詞,*,*,未来,みらい,代表表記:未来/みらい カテゴリ:時間
     11 破棄	名詞,サ変名詞,*,*,破棄,はき,代表表記:破棄/はき カテゴリ:抽象物
     11 討伐	名詞,サ変名詞,*,*,討伐,とうばつ,代表表記:討伐/とうばつ カテゴリ:抽象物 ドメイン:政治
     11 度	接尾辞,名詞性名詞助数辞,*,*,度,ど,代表表記:度/ど 準内容語
     11 伝説	名詞,普通名詞,*,*,伝説,でんせつ,代表表記:伝説/でんせつ カテゴリ:抽象物
     11 天使	名詞,普通名詞,*,*,天使,てんし,代表表記:天使/てんし カテゴリ:人
     11 超	接頭辞,名詞接頭辞,*,*,超,ちょう,代表表記:超/ちょう 内容語
     11 男子	名詞,普通名詞,*,*,男子,だんし,代表表記:男子/だんし カテゴリ:人
     11 戦	名詞,普通名詞,*,*,戦,いくさ,代表表記:戦/いくさ 漢字読み:訓 カテゴリ:抽象物
     11 先	名詞,普通名詞,*,*,先,さき,代表表記:先/さき 漢字読み:訓 カテゴリ:場所-機能;時間
     11 始まる	動詞,*,子音動詞ラ行,基本形,始まる,はじまる,代表表記:始まる/はじまる 自他動詞:他:始める/はじめる 反義:動詞:終わる/おわる
     11 三	名詞,数詞,*,*,三,さん,カテゴリ:数量
     11 現実	名詞,普通名詞,*,*,現実,げんじつ,代表表記:現実/げんじつ 修飾（ニ格） カテゴリ:抽象物 反義:名詞-普通名詞:理想/りそう;名詞-サ変名詞:空想/くうそう
     11 月	名詞,時相名詞,*,*,月,げつ,代表表記:月/げつ 漢字読み:音 カテゴリ:時間
     11 仮	名詞,普通名詞,*,*,仮,かり,代表表記:仮/かり 漢字読み:訓 カテゴリ:抽象物
     11 化	接尾辞,名詞性名詞接尾辞,*,*,化,か,代表表記:化/か 準内容語 カテゴリ:抽象物 換言:N+:Nになる;N+:Nにする
     11 王国	名詞,普通名詞,*,*,王国,おうこく,代表表記:王国/おうこく 地名末尾 カテゴリ:場所-その他 ドメイン:政治
     11 ように	助動詞,*,ナ形容詞,ダ列基本連用形,ようだ,ように,*
     11 もの	名詞,形式名詞,*,*,もの,もの,*
     11 っ	接尾辞,動詞性接尾辞,子音動詞ワ行,タ接連用形,う,っ,代表表記:う/う
     11 じゃ	判定詞,*,判定詞,ダ列タ系連用ジャ形,だ,じゃ,*
     11 ある	動詞,*,子音動詞ラ行,基本形,ある,ある,代表表記:有る/ある 補文ト 反義:形容詞:無い/ない
     11 VRMMO	名詞,組織名,*,*,*,*,*
     10 迷宮	名詞,普通名詞,*,*,迷宮,めいきゅう,代表表記:迷宮/めいきゅう カテゴリ:場所-施設
     10 妹	名詞,普通名詞,*,*,妹,いもうと,代表表記:妹/いもうと 漢字読み:訓 カテゴリ:人 ドメイン:家庭・暮らし
     10 魔物	名詞,普通名詞,*,*,魔物,まもの,代表表記:魔物/まもの カテゴリ:人;抽象物
     10 暮らし	動詞,*,子音動詞サ行,基本連用形,暮らす,くらし,代表表記:暮らす/くらす ドメイン:家庭・暮らし
     10 天	名詞,普通名詞,*,*,天,てん,代表表記:天/てん 漢字読み:音 カテゴリ:場所-自然
     10 中	名詞,副詞的名詞,*,*,中,なか,代表表記:中/なか
     10 戦争	名詞,サ変名詞,*,*,戦争,せんそう,代表表記:戦争/せんそう カテゴリ:抽象物 ドメイン:政治
     10 生きて	動詞,*,母音動詞,タ系連用テ形,生きる,いきて,代表表記:生きる/いきる ドメイン:健康・医学 自他動詞:他:生かす/いかす
     10 小説	名詞,普通名詞,*,*,小説,しょうせつ,代表表記:小説/しょうせつ カテゴリ:抽象物 ドメイン:文化・芸術
     10 思い	動詞,*,子音動詞ワ行,基本連用形,思う,おもい,代表表記:思う/おもう 補文ト
     10 姉	名詞,普通名詞,*,*,姉,あね,代表表記:姉/あね 漢字読み:訓 カテゴリ:人 ドメイン:家庭・暮らし
     10 高校	名詞,普通名詞,*,*,高校,こうこう,代表表記:高校/こうこう 組織名末尾 カテゴリ:組織・団体;場所-施設 ドメイン:教育・学習
     10 花	名詞,普通名詞,*,*,花,か,代表表記:花/か 漢字読み:音 カテゴリ:植物-部位
     10 屋	名詞,普通名詞,*,*,屋,や,代表表記:屋/や 漢字読み:訓 カテゴリ:場所-施設
     10 ダンジョン	名詞,地名,*,*,ダンジョン,ダンジョン,自動獲得:Wikipedia Wikipedia上位語:地下室
     10 クラス	名詞,普通名詞,*,*,クラス,くらす,代表表記:クラス/くらす カテゴリ:組織・団体;抽象物 ドメイン:教育・学習
     10 れ	接尾辞,動詞性接尾辞,母音動詞,未然形,れる,れ,代表表記:れる/れる
     10 なる	接尾辞,動詞性接尾辞,子音動詞ラ行,基本形,なる,なる,代表表記:なる/なる
     10 なった	接尾辞,動詞性接尾辞,子音動詞ラ行,タ形,なる,なった,代表表記:なる/なる
     10 たく	接尾辞,形容詞性述語接尾辞,イ形容詞アウオ段,基本連用形,たい,たく,代表表記:たい/たい
     10 TS	名詞,組織名,*,*,*,*,*
      9 編	名詞,普通名詞,*,*,編,へん,代表表記:編/へん 漢字読み:音 カテゴリ:抽象物
      9 奮闘	名詞,サ変名詞,*,*,奮闘,ふんとう,代表表記:奮闘/ふんとう カテゴリ:抽象物
      9 瞳	名詞,普通名詞,*,*,瞳,ひとみ,代表表記:瞳/ひとみ カテゴリ:動物-部位
      9 天才	名詞,普通名詞,*,*,天才,てんさい,代表表記:天才/てんさい カテゴリ:人
      9 心	名詞,普通名詞,*,*,心,こころ,代表表記:心/こころ 漢字読み:訓 カテゴリ:抽象物
      9 術	名詞,普通名詞,*,*,術,じゅつ,代表表記:術/じゅつ 漢字読み:音 カテゴリ:抽象物
      9 学校	名詞,普通名詞,*,*,学校,がっこう,代表表記:学校/がっこう カテゴリ:場所-施設 ドメイン:教育・学習
      9 嫁	名詞,普通名詞,*,*,嫁,よめ,代表表記:嫁/よめ 漢字読み:訓 カテゴリ:人 ドメイン:家庭・暮らし
      9 運命	名詞,普通名詞,*,*,運命,うんめい,代表表記:運命/うんめい カテゴリ:抽象物
      9 愛	名詞,普通名詞,*,*,愛,あい,代表表記:愛/あい 漢字読み:音 カテゴリ:抽象物
      9 ランク	名詞,サ変名詞,*,*,ランク,らんく,代表表記:ランク/らんく カテゴリ:抽象物
      9 ライフ	名詞,普通名詞,*,*,ライフ,らいふ,代表表記:ライフ/らいふ カテゴリ:抽象物 ドメイン:家庭・暮らし
      9 ね	助詞,終助詞,*,*,ね,ね,*
